mua_objectid,mua_aggname_short,mua_country_code,mua_country,mua_mean_lon,mua_mean_lat,mua_cell_count,mua_worldpop_thousands,mua_area_m2,region_1,economy,sub_regions
688,Marrakech,504,Morocco,-8.021875,31.640625,16,969,203222640,Africa,other,NorthAfrica
708,Meknes,504,Morocco,-5.528333333,33.885,15,641,145893248,Africa,other,NorthAfrica
812,Oujda,504,Morocco,-1.9,34.675,12,515,128563904,Africa,other,NorthAfrica
887,Rabat,504,Morocco,-6.846052632,33.97236842,19,1585,229030368,Africa,other,NorthAfrica
921,Safi,504,Morocco,-9.235,32.3,10,279,63583132,Africa,other,NorthAfrica
1412,Tanger,504,Morocco,-5.827941176,35.74852941,17,974,148331392,Africa,other,NorthAfrica
1067,Tetouan,504,Morocco,-5.348076923,35.59423077,13,475,125847008,Africa,other,NorthAfrica
1305,Beira,508,Mozambique,34.875,-19.785,10,305,99701104,Africa,other,EastAfrica
1526,Maputo+,508,Mozambique,32.53012821,-25.90320513,39,2306,588838016,Africa,other,EastAfrica
754,Nampula,508,Mozambique,39.25681818,-15.12045455,11,513,127913736,Africa,other,EastAfrica
1150,Windhoek,516,Namibia,17.05166667,-22.55833333,15,373,205848240,Africa,other,SouthAfrica
778,Niamey,562,Niger,2.13,13.52,20,949,268067040,Africa,other,WestAfrica
1229,Zinder,562,Niger,8.975,13.81071429,7,198,90448304,Africa,other,WestAfrica
1517,Aba,566,Nigeria,7.35,5.110714286,14,1003,204269792,Africa,other,WestAfrica
1422,Abakaliki,566,Nigeria,8.115,6.325,10,185,106391336,Africa,other,WestAfrica
1518,Abeokuta,566,Nigeria,3.345,7.155,15,493,214940592,Africa,other,WestAfrica
10,Abuja,566,Nigeria,7.457258065,9.055645161,31,1173,508471552,Africa,other,WestAfrica
19,Ado-Ekiti,566,Nigeria,5.225,7.625,9,276,129105760,Africa,other,WestAfrica
1418,Akure,566,Nigeria,5.194230769,7.255769231,13,463,217346320,Africa,other,WestAfrica
133,Bauchi,566,Nigeria,9.825,10.30833333,9,244,119896920,Africa,other,WestAfrica
145,BeninCity,566,Nigeria,5.638461538,6.342307692,26,1142,420676320,Africa,other,WestAfrica
2,Calabar,566,Nigeria,8.325,4.975,11,288,141186192,Africa,other,WestAfrica
1455,Enugu,566,Nigeria,7.510714286,6.442857143,14,674,196451216,Africa,other,WestAfrica
375,Gboko,566,Nigeria,9.008333333,7.319444444,9,193,99135496,Africa,other,WestAfrica
384,Gombe,566,Nigeria,11.175,10.285,10,186,122945544,Africa,other,WestAfrica
1456,Ibadan,566,Nigeria,3.904411765,7.411764706,34,2862,615723968,Africa,other,WestAfrica
474,Ife,566,Nigeria,4.551923077,7.482692308,13,255,162564576,Africa,other,WestAfrica
1423,Ilorin,566,Nigeria,4.560294118,8.480882353,17,842,255536496,Africa,other,WestAfrica
517,Jos,566,Nigeria,8.872222222,9.858333333,18,630,268187440,Africa,other,WestAfrica
526,Kaduna,566,Nigeria,7.43125,10.50833333,24,1247,370834688,Africa,other,WestAfrica
539,Kano,566,Nigeria,8.527272727,11.98863636,22,3728,363532320,Africa,other,WestAfrica
549,Katsina,566,Nigeria,7.608333333,12.98055556,9,425,128608520,Africa,other,WestAfrica
1420,Lagos+,566,Nigeria,3.378370787,6.595786517,89,12398,1758890624,Africa,other,WestAfrica
1504,Lokoja,566,Nigeria,6.725,7.789285714,7,67,79546536,Africa,other,WestAfrica
671,Maiduguri,566,Nigeria,13.134375,11.834375,16,817,244388560,Africa,other,WestAfrica
674,Makurdi,566,Nigeria,8.551923077,7.732692308,13,244,145499904,Africa,other,WestAfrica
720,Minna,566,Nigeria,6.55,9.610714286,14,351,157018512,Africa,other,WestAfrica
1393,Nnewi,566,Nigeria,6.983823529,5.998529412,17,722,247558048,Africa,other,WestAfrica
1544,Ogbomosho,566,Nigeria,4.235,8.13,10,319,129534712,Africa,other,WestAfrica
800,Okene,566,Nigeria,6.219444444,7.569444444,9,271,129192440,Africa,other,WestAfrica
1358,Okpogho,566,Nigeria,7.275,6.45,6,36,85256040,Africa,other,WestAfrica
804,Ondo,566,Nigeria,4.83125,7.08125,8,194,113193040,Africa,other,WestAfrica
1472,Onitsha,566,Nigeria,6.883108108,6.176351351,37,1130,469539680,Africa,other,WestAfrica
1543,Oshogbo,566,Nigeria,4.501190476,7.763095238,21,694,312068800,Africa,other,WestAfrica
1394,Owerri,566,Nigeria,7.029545455,5.493181818,11,360,170911216,Africa,other,WestAfrica
1345,Oyo,566,Nigeria,3.929545455,7.843181818,11,299,135655680,Africa,other,WestAfrica
1419,Port-Harcourt,566,Nigeria,7.01547619,4.832142857,21,1146,377948128,Africa,other,WestAfrica
1006,Sokoto,566,Nigeria,5.225,13.04642857,14,691,172399712,Africa,other,WestAfrica
1395,Umuahia,566,Nigeria,7.468333333,5.521666667,15,312,186497824,Africa,other,WestAfrica
1521,Uyo,566,Nigeria,7.928333333,5.031666667,15,516,240971776,Africa,other,WestAfrica
1143,Warri,566,Nigeria,5.763888889,5.544444444,18,552,204422560,Africa,other,WestAfrica
1216,Zaria,566,Nigeria,7.7,11.1,16,668,188324608,Africa,other,WestAfrica
563,Kigali,646,Rwanda,30.08928571,-1.95,14,967,204582432,Africa,other,EastAfrica
285,Dakar,686,Senegal,-17.375,14.73586957,23,2959,242707680,Africa,other,WestAfrica
358,Freetown,694,Sierra_Leone,-13.20108696,8.440217391,23,1091,199844624,Africa,other,WestAfrica
