mua_country_code,mua_country_name_short,region_1,economy,sub_regions
270,Gambia,Africa,other,WestAfrica
268,Georgia,OtherAsia,other,CentralAsia
276,Germany,Europe,advanced,Europe
288,Ghana,Africa,other,WestAfrica
300,Greece,Europe,advanced,Europe
320,Guatemala,LatAmerCarib,other,LatAmerCarib
324,Guinea,Africa,other,WestAfrica
624,Guinea_Bissau,Africa,other,WestAfrica
332,Haiti,LatAmerCarib,other,LatAmerCarib
340,Honduras,LatAmerCarib,other,LatAmerCarib
348,Hungary,Europe,advanced,Europe
356,India,India,other,India
360,Indonesia,SEAsia,other,SEAsia
364,Iran,MiddleEast,other,MiddleEast
368,Iraq,MiddleEast,other,MiddleEast
372,Ireland,Europe,advanced,Europe
376,Israel,MiddleEast,advanced,MiddleEast
380,Italy,Europe,advanced,Europe
384,Ivory_Coast,Africa,other,WestAfrica
388,Jamaica,LatAmerCarib,other,LatAmerCarib
392,Japan,EastAsia,advanced,EastAsia
400,Jordan,MiddleEast,other,MiddleEast
398,Kazakhstan,OtherAsia,other,CentralAsia
404,Kenya,Africa,other,EastAfrica
408,Korea_North,EastAsia,other,EastAsia
410,Korea_South,EastAsia,advanced,EastAsia
414,Kuwait,MiddleEast,other,MiddleEast
417,Kyrgyzstan,OtherAsia,other,CentralAsia
418,Laos,SEAsia,other,SEAsia
428,Latvia,Europe,advanced,Europe
422,Lebanon,MiddleEast,other,MiddleEast
430,Liberia,Africa,other,WestAfrica
434,Libya,Africa,other,NorthAfrica
440,Lithuania,Europe,advanced,Europe
807,Macedonia,Europe,other,Europe
450,Madagascar,Africa,other,EastAfrica
454,Malawi,Africa,other,EastAfrica
458,Malaysia,SEAsia,other,SEAsia
466,Mali,Africa,other,WestAfrica
478,Mauritania,Africa,other,WestAfrica
484,Mexico,LatAmerCarib,advanced,LatAmerCarib
498,Moldova,Europe,other,Europe
496,Mongolia,OtherAsia,other,CentralAsia
504,Morocco,Africa,other,NorthAfrica
508,Mozambique,Africa,other,EastAfrica
104,Myanmar,SEAsia,other,SEAsia
516,Namibia,Africa,other,SouthAfrica
524,Nepal,OtherAsia,other,SouthAsia
528,Netherlands,Europe,advanced,Europe
554,New_Zealand,AustraliaNZ,advanced,AustraliaNZ
558,Nicaragua,LatAmerCarib,other,LatAmerCarib
562,Niger,Africa,other,WestAfrica
566,Nigeria,Africa,other,WestAfrica
578,Norway,Europe,advanced,Europe
512,Oman,MiddleEast,other,MiddleEast
586,Pakistan,OtherAsia,other,SouthAsia
275,Palestine,MiddleEast,other,MiddleEast
591,Panama,LatAmerCarib,other,LatAmerCarib
598,Papua_New_Guinea,SEAsia,other,SEAsia
600,Paraguay,LatAmerCarib,other,LatAmerCarib
604,Peru,LatAmerCarib,other,LatAmerCarib
608,Philippines,SEAsia,other,SEAsia
616,Poland,Europe,advanced,Europe
620,Portugal,Europe,advanced,Europe
630,Puerto_Rico,LatAmerCarib,other,LatAmerCarib
634,Qatar,MiddleEast,other,MiddleEast
642,Romania,Europe,advanced,Europe
643,Russia,Russia,other,Russia
646,Rwanda,Africa,other,EastAfrica
682,Saudi_Arabia,MiddleEast,other,MiddleEast
686,Senegal,Africa,other,WestAfrica
688,Serbia,Europe,other,Europe
694,Sierra_Leone,Africa,other,WestAfrica
702,Singapore,EastAsia,other,EastAsia
703,Slovakia,Europe,advanced,Europe
706,Somalia,Africa,other,EastAfrica
710,South_Africa,Africa,other,SouthAfrica
728,South_Sudan,Africa,other,EastAfrica
724,Spain,Europe,advanced,Europe
144,Sri_Lanka,OtherAsia,other,SouthAsia
729,Sudan,Africa,other,NorthAfrica
752,Sweden,Europe,advanced,Europe
756,Switzerland,Europe,advanced,Europe
760,Syria,MiddleEast,other,MiddleEast
956,Taiwan,EastAsia,other,EastAsia
762,Tajikistan,OtherAsia,other,CentralAsia
834,Tanzania,Africa,other,EastAfrica
764,Thailand,SEAsia,other,SEAsia
768,Togo,Africa,other,WestAfrica
788,Tunisia,Africa,other,NorthAfrica
792,Turkey,OtherAsia,advanced,CentralAsia
795,Turkmenistan,OtherAsia,other,CentralAsia
800,Uganda,Africa,other,EastAfrica
804,Ukraine,Europe,other,Europe
784,United_Arab_Emirates,MiddleEast,other,MiddleEast
826,United_Kingdom,Europe,advanced,Europe
858,Uruguay,LatAmerCarib,other,LatAmerCarib
