mua_objectid,mua_aggname,mua_cellcount,mua_country_code,mua_country,mua_cell_count_orig,mua_worldpop_thousands,mua_area_m2,mua_pop_per_km2,region_1,economy,sub_regions,lowBA_lowPR_93_99,highBA_lowPR_93_99,lowBA_highPR_93_99,highBA_highPR_93_99,lowBA_lowPR_99_09,highBA_lowPR_99_09,lowBA_highPR_99_09,highBA_highPR_99_09,lowBA_lowPR_10_20,highBA_lowPR_10_20,lowBA_highPR_10_20,highBA_highPR_10_20,GDP_1990_Bdol_US2011,GDP_1991_Bdol_US2011,GDP_1992_Bdol_US2011,GDP_1993_Bdol_US2011,GDP_1994_Bdol_US2011,GDP_1995_Bdol_US2011,GDP_1996_Bdol_US2011,GDP_1997_Bdol_US2011,GDP_1998_Bdol_US2011,GDP_1999_Bdol_US2011,GDP_2000_Bdol_US2011,GDP_2001_Bdol_US2011,GDP_2002_Bdol_US2011,GDP_2003_Bdol_US2011,GDP_2004_Bdol_US2011,GDP_2005_Bdol_US2011,GDP_2006_Bdol_US2011,GDP_2007_Bdol_US2011,GDP_2008_Bdol_US2011,GDP_2009_Bdol_US2011,GDP_2010_Bdol_US2011,GDP_2011_Bdol_US2011,GDP_2012_Bdol_US2011,GDP_2013_Bdol_US2011,GDP_2014_Bdol_US2011,GDP_2015_Bdol_US2011
1311,Santa-Marta,7,170,Colombia,8,369,81139344,455,LatAmerCarib,advanced,LatAmerCarib,6,1,0,0,6,1,0,0,7,0,0,0,1.050742972,1.053034512,1.218609108,1.186316645,1.395678919,1.418672133,1.521705845,1.582010317,1.668021513,1.618158959,1.617234267,1.676748876,1.72641126,1.80341898,1.893732489,1.83551302,1.939898067,2.151660544,2.323014414,2.434676746,2.444805156,2.624788334,2.751407405,3.037521681,3.174546162,3.277031023
1312,Barddhaman,9,356,India,9,149,94256784,158,India,other,India,8,1,0,0,9,0,0,0,9,0,0,0,0.597280038,0.601652694,0.600441746,0.619915218,0.666019576,0.731694188,0.808197674,0.863574752,0.93831025,1.039354628,1.090809458,1.165537584,1.199000086,1.2901099,1.38158897,1.369018226,1.4541205,1.556248774,1.61941274,1.77963185,1.96583754,2.09694864,2.21595899,2.36402449,2.53649908,2.72988387
1313,Bokaro-Steel-City,19,356,India,19,343,225010608,152,India,other,India,19,0,0,0,19,0,0,0,19,0,0,0,0.593418116,0.580834998,0.583951442,0.60894328,0.641276616,0.678890124,0.719073931,0.739449279,0.77998929,0.848754118,0.88791063,0.897059628,0.953268014,0.95916529,1.1044523,1.090091992,1.194221984,1.321826764,1.406092372,1.491462042,1.662769894,1.779036222,1.885697246,2.018257554,2.165505616,2.330605706
1314,Dhanbad,18,356,India,18,963,184315760,522,India,other,India,18,0,0,0,18,0,0,0,17,1,0,0,0.507832839,0.500098817,0.502690313,0.523839754,0.55415873,0.591200811,0.631777313,0.655202847,0.695939116,0.760802374,0.79717375,0.815385147,0.86068638,0.87918909,0.996672234,0.984867964,1.072218664,1.178889298,1.248811594,1.334680494,1.485594574,1.588963626,1.683688438,1.801468038,1.932899604,2.080265518
1315,Cumana,9,862,Venezuela,13,264,114710008,230,LatAmerCarib,other,LatAmerCarib,9,0,0,0,9,0,0,0,9,0,0,0,1.367757211,1.495084955,1.580094544,1.579272562,1.537447442,1.593563779,1.586058892,1.682783657,1.683637851,1.579417612,1.633920747,1.699133305,1.557536368,1.444952061,1.718982335,1.907307947,2.10782572,2.305835443,2.442014475,2.378149083,2.357217965,2.463612396,2.611169955,2.544943587,2.442637764,2.300735595
1316,Bandar-Lampung,17,360,Indonesia,19,1062,244914752,434,SEAsia,other,SEAsia,12,5,0,0,15,2,0,0,17,0,0,0,1.584442969,1.757670441,1.918667876,2.094219317,2.290994299,2.525254703,2.763197434,2.940038762,2.590422782,2.637611094,2.778519989,2.86822954,2.95310496,3.009682232,3.031145368,3.027341452,3.30970666,3.878461671,4.155102329,4.769360626,5.476726854,5.814344031,6.164310929,6.491310192,6.791675819,7.093078302
1317,Bahia-Blanca,11,32,Argentina,13,234,121991496,192,LatAmerCarib,other,LatAmerCarib,11,0,0,0,11,0,0,0,10,1,0,0,1.230590864,1.421057934,1.615495497,1.761544884,1.910766802,1.893214932,2.038687476,2.282371828,2.424006466,2.36012288,2.37230181,2.30238358,2.010156112,2.295801244,2.572444612,2.876830132,3.210755534,3.55523776,3.732343834,3.758031312,4.158014554,4.582366826,4.68393966,4.857693088,4.926281542,4.81445663
1318,Mbouda,7,120,Cameroon,7,30,71218336,42,Africa,other,CentralAfrica,7,0,0,0,7,0,0,0,7,0,0,0,0.331072244,0.31678904,0.305283184,0.279476668,0.283596326,0.293576188,0.306176434,0.320519124,0.33416192,0.345560282,0.357654702,0.374627994,0.390336962,0.406607882,0.422023682,0.431891642,0.445801274,0.460108922,0.472974164,0.48150693,0.496432808,0.514964858,0.536351056,0.563710254,0.592359142,0.62425277
1319,Bacolod,8,608,Philippines,11,477,132105448,361,SEAsia,other,SEAsia,7,1,0,0,8,0,0,0,8,0,0,0,1.732247522,1.749700938,1.777592922,1.832549504,1.92525628,2.021746912,2.139598998,2.242180102,2.211960004,2.254213976,2.319566694,2.349868324,2.394273384,2.470332476,2.594830382,2.685314186,2.804794108,2.985316038,2.88012608,2.887346948,3.471484048,3.625344336,3.894009266,4.12876022,4.384911462,4.642813862
1320,Marseille-metro,9,250,France,9,95,56057720,169,Europe,advanced,Europe,9,0,0,0,9,0,0,0,9,0,0,0,4.43364297,4.449225772,4.470282106,4.36519292,4.436302658,4.57279409,4.60925748,4.82158556,5.027471766,5.213283056,5.518226844,5.679949434,5.696691244,5.762296538,5.977490134,6.11320633,6.271052784,6.20565089,6.25475762,6.156921512,6.273982118,6.41567049,6.43815119,6.432672524,6.44860115,6.543023386
